"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000242, 1, 0.000242, svm_C='1.0', svm_gamma='1.0'
3.896983, 0.513997, 3.931908, 1, 0.034925, svm_C='1.0', svm_gamma='1.0'
59.362856, 0.510611, 60.400635, 2, 1.037779, svm_C='8.782590000989163', svm_gamma='0.7972399206353589'
62.126666, 0.507542, 63.241212, 3, 1.114547, svm_C='5.204598881547159', svm_gamma='0.32439856657700533'
96.655558, 0.506762, 98.465722, 4, 1.810164, svm_C='14.60491094631461', svm_gamma='0.19126775750134556'
105.401186, 0.506754, 107.375550, 5, 1.974365, svm_C='9.242585191626489', svm_gamma='0.04578173476599791'
127.973526, 0.503479, 130.338384, 6, 2.364857, svm_C='9.98277708017392', svm_gamma='0.23117231880234249'
150.371320, 0.502524, 153.203138, 7, 2.831819, svm_C='16.280066756252424', svm_gamma='0.18907633349793868'
163.239203, 0.502131, 166.400562, 8, 3.161359, svm_C='15.80545890290211', svm_gamma='0.06555428358364027'
210.486497, 0.474510, 214.538038, 9, 4.051541, svm_C='41.06003460236968', svm_gamma='0.011823934242050332'
376.469254, 0.469421, 383.838792, 10, 7.369538, svm_C='11.090175791319837', svm_gamma='0.016463054371353765'
428.939927, 0.464886, 437.415963, 11, 8.476036, svm_C='88.91955134615759', svm_gamma='0.010581690396649066'
440.093428, 0.448328, 448.893792, 12, 8.800364, svm_C='27.82395357370212', svm_gamma='0.010577512705467015'
556.335005, 0.442235, 567.839315, 13, 11.504310, svm_C='87.69285814817376', svm_gamma='0.010581690396649066'
